信号日期,盘前检查时间,交易动作,策略信号动作,股票代码,股票名称,收盘价,当前权重,目标权重,权重变化,动量分数,当日排名,持有天数,成交价口径,最大成交参与率,执行风险提示,连续模拟说明,观察理由,策略参数
2026-06-02,2026-06-03 07:30,关注买入,继续持有,SH.600183,生益科技,141.07,0.00%,5.11%,5.11%,0.1006,10,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-02持仓0.00%调整到5.11%,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-02,2026-06-03 07:30,关注买入,继续持有,SH.600584,长电科技,75.35,0.00%,4.66%,4.66%,-0.1456,112,8,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-02持仓0.00%调整到4.66%,未触发交易，仅保留观察,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-02,2026-06-03 07:30,关注买入,继续持有,SH.603256,宏和科技,198.80,0.00%,4.28%,4.28%,0.0810,12,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-02持仓0.00%调整到4.28%,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-02,2026-06-03 07:30,关注买入,继续持有,SH.688183,生益电子,131.55,0.00%,3.70%,3.70%,-0.0042,41,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-02持仓0.00%调整到3.70%,未触发交易，仅保留观察,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-02,2026-06-03 07:30,关注买入,继续持有,SH.688347,华虹公司,226.50,0.00%,2.88%,2.88%,0.0183,34,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-02持仓0.00%调整到2.88%,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-02,2026-06-03 07:30,关注卖出,候选观察,SZ.000725,京东方Ａ,5.47,5.98%,0.00%,-5.98%,-0.0520,77,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-02持仓5.98%调整到0.00%,动量分数跌破持有阈值；排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-02,2026-06-03 07:30,关注卖出,候选观察,SH.688012,DR中微公,282.80,4.98%,0.00%,-4.98%,-0.3899,120,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-02持仓4.98%调整到0.00%,动量分数跌破持有阈值；排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-02,2026-06-03 07:30,关注卖出,候选观察,SH.603986,兆易创新,474.69,4.80%,0.00%,-4.80%,-0.0979,98,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-02持仓4.80%调整到0.00%,动量分数跌破持有阈值；排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-02,2026-06-03 07:30,关注卖出,候选观察,SZ.002281,光迅科技,215.11,4.01%,0.00%,-4.01%,0.0406,23,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-02持仓4.01%调整到0.00%,排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-02,2026-06-03 07:30,关注卖出,候选观察,SH.688072,拓荆科技,596.00,3.51%,0.00%,-3.51%,-0.2053,118,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-02持仓3.51%调整到0.00%,动量分数跌破持有阈值；排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
