信号日期,盘前检查时间,交易动作,策略信号动作,股票代码,股票名称,收盘价,当前权重,目标权重,权重变化,动量分数,当日排名,持有天数,成交价口径,最大成交参与率,执行风险提示,连续模拟说明,观察理由,策略参数
2026-06-01,2026-06-02 07:30,继续持有,继续持有,SZ.000725,京东方Ａ,5.36,5.98%,5.98%,0.00%,0.0171,29,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟维持5.98%目标仓位,仍在持有观察区内；已持有3个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-01,2026-06-02 07:30,继续持有,继续持有,SH.688012,DR中微公,273.00,4.98%,4.98%,0.00%,-0.4375,120,8,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟维持4.98%目标仓位,仍在持有观察区内；已持有8个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-01,2026-06-02 07:30,继续持有,继续持有,SH.603986,兆易创新,468.00,4.80%,4.80%,0.00%,-0.0910,85,8,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟维持4.80%目标仓位,仍在持有观察区内；已持有8个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-01,2026-06-02 07:30,继续持有,继续持有,SZ.002281,光迅科技,204.30,4.01%,4.01%,0.00%,-0.0879,84,8,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟维持4.01%目标仓位,仍在持有观察区内；已持有8个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-01,2026-06-02 07:30,继续持有,继续持有,SH.688072,拓荆科技,583.35,3.51%,3.51%,0.00%,-0.1909,114,8,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟维持3.51%目标仓位,仍在持有观察区内；已持有8个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-01,2026-06-02 07:30,候选观察,候选观察,SH.600183,生益科技,135.63,0.00%,0.00%,0.00%,0.1640,1,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-01,2026-06-02 07:30,候选观察,候选观察,SH.601991,大唐发电,8.37,0.00%,0.00%,0.00%,0.1311,2,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-01,2026-06-02 07:30,候选观察,候选观察,SH.688183,生益电子,123.00,0.00%,0.00%,0.00%,0.1174,3,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-01,2026-06-02 07:30,候选观察,候选观察,SH.601088,中国神华,49.00,0.00%,0.00%,0.00%,0.0942,4,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-01,2026-06-02 07:30,候选观察,候选观察,SZ.300408,三环集团,125.63,0.00%,0.00%,0.00%,0.0891,5,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-01,2026-06-02 07:30,候选观察,候选观察,SZ.300394,天孚通信,428.88,0.00%,0.00%,0.00%,0.0810,6,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
