信号日期,盘前检查时间,交易动作,策略信号动作,股票代码,股票名称,收盘价,当前权重,目标权重,权重变化,动量分数,当日排名,持有天数,成交价口径,最大成交参与率,执行风险提示,连续模拟说明,观察理由,策略参数
2026-06-04,2026-06-05 07:30,关注买入,继续持有,SZ.002028,思源电气,192.80,0.00%,3.13%,3.13%,-0.0591,93,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-04持仓0.00%调整到3.13%,未触发交易，仅保留观察,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-04,2026-06-05 07:30,关注买入,继续持有,SZ.300058,蓝色光标,15.91,0.00%,2.72%,2.72%,-0.0155,58,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-04持仓0.00%调整到2.72%,未触发交易，仅保留观察,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-04,2026-06-05 07:30,关注买入,继续持有,SZ.002353,杰瑞股份,157.34,0.00%,2.70%,2.70%,0.0625,19,3,next_open,5.00%,接近/触及涨停，买入可能无法成交,连续模拟从2026-06-04持仓0.00%调整到2.70%,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-04,2026-06-05 07:30,关注买入,继续持有,SZ.300433,蓝思科技,43.64,0.00%,2.70%,2.70%,0.0848,12,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-04持仓0.00%调整到2.70%,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-04,2026-06-05 07:30,关注买入,继续持有,SH.600183,生益科技,143.96,0.00%,2.45%,2.45%,0.0613,20,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-04持仓0.00%调整到2.45%,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-04,2026-06-05 07:30,关注减仓,继续持有,SZ.300394,天孚通信,480.45,5.10%,2.38%,-2.72%,0.0735,16,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-04持仓5.10%调整到2.38%,已持有3个交易日,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-04,2026-06-05 07:30,关注减仓,继续持有,SZ.300408,三环集团,139.03,4.81%,2.35%,-2.46%,0.0524,24,23,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-04持仓4.81%调整到2.35%,排名跌出持有前20；已持有23个交易日,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-04,2026-06-05 07:30,关注减仓,继续持有,SH.603256,宏和科技,195.01,4.28%,1.95%,-2.33%,-0.0147,57,43,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-04持仓4.28%调整到1.95%,动量分数跌破持有阈值；排名跌出持有前20；已持有43个交易日,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-04,2026-06-05 07:30,关注买入,继续持有,SH.688183,生益电子,128.60,0.00%,1.72%,1.72%,-0.0761,101,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-04持仓0.00%调整到1.72%,未触发交易，仅保留观察,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-04,2026-06-05 07:30,关注买入,继续持有,SH.601991,大唐发电,8.81,0.00%,1.70%,1.70%,0.1013,8,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-04持仓0.00%调整到1.70%,排名进入买入前10；动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
