信号日期,盘前检查时间,交易动作,策略信号动作,股票代码,股票名称,收盘价,当前权重,目标权重,权重变化,动量分数,当日排名,持有天数,成交价口径,最大成交参与率,执行风险提示,连续模拟说明,观察理由,策略参数
2026-06-22,2026-06-23 07:30,关注买入,继续持有,SZ.000725,京东方Ａ,6.93,0.00%,4.59%,4.59%,0.2397,28,3,next_open,5.00%,接近/触及涨停，买入可能无法成交,连续模拟从2026-06-12持仓0.00%调整到4.59%,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注加仓,继续持有,SH.600487,亨通光电,120.13,2.20%,4.36%,2.16%,0.3139,20,3,next_open,5.00%,接近/触及涨停，买入可能无法成交,连续模拟从2026-06-12持仓2.20%调整到4.36%,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注买入,继续持有,SZ.300285,国瓷材料,98.90,0.00%,3.65%,3.65%,0.6355,4,3,next_open,5.00%,接近/触及涨停，买入可能无法成交,连续模拟从2026-06-12持仓0.00%调整到3.65%,排名进入买入前5；动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注买入,继续持有,SH.688347,华虹公司,280.00,0.00%,2.87%,2.87%,0.2005,37,8,next_open,5.00%,接近/触及涨停，买入可能无法成交,连续模拟从2026-06-12持仓0.00%调整到2.87%,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注买入,继续持有,SH.688146,中船特气,389.99,0.00%,2.34%,2.34%,1.1351,1,18,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-12持仓0.00%调整到2.34%,排名进入买入前5；动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注卖出,候选观察,SH.600549,厦门钨业,94.50,2.93%,0.00%,-2.93%,0.5747,7,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-12持仓2.93%调整到0.00%,已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注卖出,候选观察,SZ.002353,杰瑞股份,173.66,2.82%,0.00%,-2.82%,0.2141,33,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-12持仓2.82%调整到0.00%,排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注卖出,候选观察,SH.600105,永鼎股份,63.70,2.63%,0.00%,-2.63%,0.2269,30,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-12持仓2.63%调整到0.00%,排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注卖出,候选观察,SH.600522,中天科技,59.63,2.22%,0.00%,-2.22%,0.3257,16,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-12持仓2.22%调整到0.00%,排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注卖出,候选观察,SH.601869,长飞光纤,518.71,2.22%,0.00%,-2.22%,0.1657,42,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-12持仓2.22%调整到0.00%,排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注卖出,候选观察,SH.603986,兆易创新,689.70,2.21%,0.00%,-2.21%,0.4012,10,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-12持仓2.21%调整到0.00%,已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注卖出,候选观察,SZ.300620,光库科技,391.98,1.89%,0.00%,-1.89%,0.1629,44,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-12持仓1.89%调整到0.00%,排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注卖出,候选观察,SH.688498,源杰科技,1873.50,1.87%,0.00%,-1.87%,0.3335,14,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-12持仓1.87%调整到0.00%,排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,关注卖出,候选观察,SH.601991,大唐发电,8.37,1.73%,0.00%,-1.73%,-0.0802,108,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-12持仓1.73%调整到0.00%,动量分数跌破持有阈值；排名跌出持有前10；已持有0个交易日,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SZ.301526,国际复材,41.60,0.00%,0.00%,0.00%,0.8900,2,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SZ.301217,铜冠铜箔,196.50,0.00%,0.00%,0.00%,0.8296,3,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SZ.300475,香农芯创,287.80,0.00%,0.00%,0.00%,0.6257,5,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SH.600498,烽火通信,82.56,0.00%,0.00%,0.00%,0.5871,6,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SH.600176,中国巨石,58.38,0.00%,0.00%,0.00%,0.5400,8,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SZ.000657,中钨高新,108.33,0.00%,0.00%,0.00%,0.5107,9,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SH.688126,沪硅产业,33.90,0.00%,0.00%,0.00%,0.3410,11,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SZ.002436,兴森科技,53.30,0.00%,0.00%,0.00%,0.3385,12,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SZ.300223,北京君正,192.75,0.00%,0.00%,0.00%,0.3352,13,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SH.603256,宏和科技,263.01,0.00%,0.00%,0.00%,0.3326,15,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SZ.002080,中材科技,84.32,0.00%,0.00%,0.00%,0.3254,17,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SZ.300857,协创数据,316.81,0.00%,0.00%,0.00%,0.3200,18,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
2026-06-22,2026-06-23 07:30,候选观察,候选观察,SZ.301511,德福科技,164.12,0.00%,0.00%,0.00%,0.3179,19,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom5@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18"
