信号日期,盘前检查时间,交易动作,策略信号动作,股票代码,股票名称,收盘价,当前权重,目标权重,权重变化,动量分数,当日排名,持有天数,成交价口径,最大成交参与率,执行风险提示,连续模拟说明,观察理由,策略参数
2026-05-28,2026-05-29 07:30,继续持有,继续持有,SH.600584,长电科技,84.74,5.03%,5.03%,0.00%,0.8294,3,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟维持5.03%目标仓位,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-28,2026-05-29 07:30,继续持有,继续持有,SZ.002281,光迅科技,214.90,4.36%,4.36%,0.00%,0.5975,8,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟维持4.36%目标仓位,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-28,2026-05-29 07:30,继续持有,继续持有,SH.688072,拓荆科技,672.24,3.90%,3.90%,0.00%,0.6297,7,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟维持3.90%目标仓位,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-28,2026-05-29 07:30,继续持有,继续持有,SH.688008,澜起科技,260.98,3.76%,3.76%,0.00%,0.4654,12,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟维持3.76%目标仓位,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-28,2026-05-29 07:30,继续持有,继续持有,SH.601991,大唐发电,8.00,3.48%,3.48%,0.00%,0.9753,1,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟维持3.48%目标仓位,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-28,2026-05-29 07:30,候选观察,候选观察,SH.603256,宏和科技,197.91,0.00%,0.00%,0.00%,0.8599,2,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-28,2026-05-29 07:30,候选观察,候选观察,SH.600183,生益科技,134.89,0.00%,0.00%,0.00%,0.7691,4,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-28,2026-05-29 07:30,候选观察,候选观察,SZ.300408,三环集团,132.11,0.00%,0.00%,0.00%,0.7541,5,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-28,2026-05-29 07:30,候选观察,候选观察,SH.688347,华虹公司,249.65,0.00%,0.00%,0.00%,0.7446,6,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-28,2026-05-29 07:30,候选观察,候选观察,SH.603986,兆易创新,483.00,0.00%,0.00%,0.00%,0.5942,9,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
