strategy_id,walk_forward_preset,fold,market_context_label,date,industry,live_weight,target_weight,live_name_count,target_name_count
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-28,专用机械,0.0,0.05,0,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-28,保险,0.0,0.05,0,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-28,化学制药,0.0,0.05,0,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-28,医疗保健,0.0,0.05,0,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-28,电气设备,0.0,0.05,0,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-28,证券,0.0,0.05,0,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-28,软件服务,0.0,0.05,0,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-28,食品,0.0,0.05,0,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-31,专用机械,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-31,保险,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-31,化学制药,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-31,医疗保健,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-31,电气设备,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-31,证券,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-31,软件服务,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-05-31,食品,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-01,专用机械,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-01,保险,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-01,化学制药,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-01,医疗保健,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-01,电气设备,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-01,证券,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-01,软件服务,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-01,食品,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-02,专用机械,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-02,保险,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-02,化学制药,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-02,医疗保健,0.05,0.05,1,1
strong_index_participation_dynamic_trigger_v1,baseline_2y_1y_5fold,1,risk_context_pressure,2021-06-02,电气设备,0.05,0.05,1,1
